Customer ID,Customer Name,Segment,Region,State,City,Total_Orders,Total_Sales,Total_Profit,Avg_Discount,Last_Order_Date,Customer_Status,Record_Version
AA-10315,Alex Avila,Consumer,Central,Minnesota,Minneapolis,1,374.48,96.5,0.0,6/29/2017,Active,1
AA-10315,Alex Avila,Consumer,Central,Texas,Round Rock,1,4406.07,-747.1,0.2,3/3/2016,Active,1
AA-10315,Alex Avila,Consumer,East,New York,New York City,1,29.5,13.28,0.0,9/15/2014,Active,1
AA-10315,Alex Avila,Consumer,West,California,San Francisco,2,753.51,274.43,0.067,3/31/2014,Active,1
AA-10375,Allen Armold,Consumer,Central,Nebraska,Omaha,1,178.37,62.07,0.0,2/3/2015,Active,1
AA-10375,Allen Armold,Consumer,East,New York,New York City,1,149.87,42.36,0.067,12/11/2017,Active,1
AA-10375,Allen Armold,Consumer,East,Rhode Island,Providence,1,56.86,26.56,0.0,9/7/2017,Active,1
AA-10375,Allen Armold,Consumer,South,Georgia,Atlanta,1,513.52,121.25,0.0,11/14/2016,Active,1
AA-10375,Allen Armold,Consumer,South,Tennessee,Lebanon,1,84.96,6.37,0.2,11/13/2015,Active,1
AA-10375,Allen Armold,Consumer,West,Arizona,Mesa,1,16.77,1.47,0.2,7/10/2016,Active,1
AA-10375,Allen Armold,Consumer,West,California,Los Angeles,1,16.52,5.58,0.2,4/21/2014,Active,1
AA-10375,Allen Armold,Consumer,West,California,Rancho Cucamonga,1,34.27,11.14,0.2,10/24/2014,Active,1
AA-10375,Allen Armold,Consumer,West,Oregon,Salem,1,5.25,0.59,0.2,5/8/2015,Active,1
AA-10480,Andrew Allen,Consumer,Central,Michigan,Detroit,1,1157.98,328.68,0.0,8/26/2016,Active,1
AA-10480,Andrew Allen,Consumer,Central,Missouri,Springfield,1,589.52,91.82,0.0,7/17/2016,Active,1
AA-10480,Andrew Allen,Consumer,East,Connecticut,Middletown,1,27.46,9.89,0.0,5/4/2014,Active,1
AA-10480,Andrew Allen,Consumer,South,North Carolina,Concord,1,15.55,5.44,0.2,4/15/2017,Active,1
AA-10645,Anna Andreadi,Consumer,Central,Oklahoma,Oklahoma City,1,1971.46,439.31,0.0,11/17/2015,Active,1
AA-10645,Anna Andreadi,Consumer,East,Massachusetts,Lowell,1,327.56,97.68,0.0,12/1/2014,Active,1
AA-10645,Anna Andreadi,Consumer,East,Pennsylvania,Chester,1,1106.77,-20.04,0.333,6/22/2014,Active,1
AA-10645,Anna Andreadi,Consumer,South,Kentucky,Georgetown,1,291.74,79.04,0.0,9/4/2016,Active,1
AA-10645,Anna Andreadi,Consumer,West,California,San Diego,1,12.96,6.22,0.0,11/5/2017,Active,1
AA-10645,Anna Andreadi,Consumer,West,California,San Francisco,1,1376.44,255.59,0.038,7/4/2016,Active,1
